dt,AverageTemperature
1829-10-01,27.356
1829-11-01,26.722
1829-12-01,25.348
1830-01-01,24.314
1830-02-01,24.374
1830-03-01,25.148
1830-04-01,27.374
1830-05-01,26.787
1830-06-01,28.047
1830-07-01,27.411
1830-08-01,25.838
1830-09-01,25.764
1830-10-01,26.828
1830-11-01,28.259
1830-12-01,26.399
1831-01-01,23.862
1831-02-01,23.982
1831-03-01,25.704
1831-04-01,26.638
1831-05-01,29.042
1831-06-01,28.664
1831-07-01,26.354
1831-08-01,25.367
1831-09-01,25.29
1831-10-01,26.383
1831-11-01,26.153
1831-12-01,24.956
1832-01-01,23.334
1832-02-01,22.923
1832-03-01,25.645
1832-04-01,27.606
1832-05-01,29.149
1832-06-01,28.271755980861247
1832-07-01,27.295
1832-08-01,25.986
1832-09-01,25.389
1832-10-01,26.523
1832-11-01,26.301
1832-12-01,25.574889423076925
1833-01-01,24.198
1833-02-01,24.1
1833-03-01,24.923
1833-04-01,26.968
1833-05-01,28.256
1833-06-01,28.314
1833-07-01,27.093
1833-08-01,25.615
1833-09-01,25.842
1833-10-01,26.43
1833-11-01,27.56
1833-12-01,25.978
1834-01-01,22.826
1834-02-01,23.858
1834-03-01,25.788
1834-04-01,26.721
1834-05-01,29.348
1834-06-01,27.956
1834-07-01,26.528
1834-08-01,25.976
1834-09-01,26.51
1834-10-01,27.042
1834-11-01,27.531
1834-12-01,26.101
1835-01-01,24.436
1835-02-01,23.787
1835-03-01,24.676
1835-04-01,26.199
1835-05-01,27.588
1835-06-01,27.07
1835-07-01,25.959
1835-08-01,25.152
1835-09-01,25.389
1835-10-01,26.295
1835-11-01,25.845
1835-12-01,24.168
1836-01-01,23.689
1836-02-01,23.442
1836-03-01,24.977
1836-04-01,26.329
1836-05-01,28.298
1836-06-01,28.032
1836-07-01,26.535
1836-08-01,25.161
1836-09-01,26.104
1836-10-01,27.342
1836-11-01,25.967
1836-12-01,25.326
1837-01-01,24.284
1837-02-01,24.221
1837-03-01,24.693
1837-04-01,25.796
1837-05-01,27.234
1837-06-01,27.425
1837-07-01,26.54
1837-08-01,25.907
1837-09-01,26.264
1837-10-01,26.465
1837-11-01,26.334
1837-12-01,25.308
1838-01-01,22.126
1838-02-01,22.963
1838-03-01,24.572
1838-04-01,26.75
1838-05-01,27.801
1838-06-01,27.888
1838-07-01,27.513
1838-08-01,26.266
1838-09-01,26.531
1838-10-01,27.038
1838-11-01,26.511
1838-12-01,25.313
1839-01-01,24.444
1839-02-01,24.288
1839-03-01,24.125
1839-04-01,26.911
1839-05-01,27.908
1839-06-01,27.705
1839-07-01,26.887
1839-08-01,26.014
1839-09-01,25.921
1839-10-01,27.191
1839-11-01,25.841
1839-12-01,24.78
1840-01-01,24.378
1840-02-01,23.533
1840-03-01,24.608
1840-04-01,27.038
1840-05-01,28.482
1840-06-01,28.269
1840-07-01,27.157
1840-08-01,26.009
1840-09-01,25.845
1840-10-01,26.618
1840-11-01,25.907
1840-12-01,25.063
1841-01-01,23.594
1841-02-01,23.784
1841-03-01,24.198
1841-04-01,25.975
1841-05-01,27.71
1841-06-01,27.661
1841-07-01,27.408
1841-08-01,25.83
1841-09-01,26.099
1841-10-01,26.375
1841-11-01,26.463
1841-12-01,25.089
1842-01-01,23.795
