dt,AverageTemperature,AverageTemperatureUncertainty,City,Country
1826-12-01,26.911,2.418,Colombo,Sri Lanka
1827-01-01,25.095,2.757,Colombo,Sri Lanka
1827-02-01,24.45,1.602,Colombo,Sri Lanka
1827-03-01,26.132,2.137,Colombo,Sri Lanka
1827-04-01,28.053,2.958,Colombo,Sri Lanka
1827-05-01,28.458,2.473,Colombo,Sri Lanka
1827-06-01,28.339,2.08,Colombo,Sri Lanka
1827-07-01,27.382,1.366,Colombo,Sri Lanka
1827-08-01,26.127,1.357,Colombo,Sri Lanka
1827-09-01,25.847,1.167,Colombo,Sri Lanka
1827-10-01,26.823,1.33,Colombo,Sri Lanka
1827-11-01,27.807,1.399,Colombo,Sri Lanka
1827-12-01,25.421,3.257,Colombo,Sri Lanka
1828-01-01,23.608,3.069,Colombo,Sri Lanka
1828-02-01,23.6,2.318,Colombo,Sri Lanka
1828-03-01,25.657,2.185,Colombo,Sri Lanka
1828-04-01,27.116,2.082,Colombo,Sri Lanka
1828-05-01,28.531,2.261,Colombo,Sri Lanka
1828-06-01,29.081,2.108,Colombo,Sri Lanka
1828-07-01,27.257,1.421,Colombo,Sri Lanka
1828-08-01,26.13,1.674,Colombo,Sri Lanka
1828-09-01,25.086,1.155,Colombo,Sri Lanka
1828-10-01,26.956,1.563,Colombo,Sri Lanka
1828-11-01,27.69,1.66,Colombo,Sri Lanka
1828-12-01,25.827,2.318,Colombo,Sri Lanka
1829-01-01,24.141,1.686,Colombo,Sri Lanka
1829-02-01,22.953,2.597,Colombo,Sri Lanka
1829-03-01,25.365,1.608,Colombo,Sri Lanka
1829-04-01,26.972,1.45,Colombo,Sri Lanka
1829-05-01,28.774,2.942,Colombo,Sri Lanka
1829-06-01,28.213,2.091,Colombo,Sri Lanka
1829-07-01,26.782,1.573,Colombo,Sri Lanka
1829-08-01,25.99,1.44,Colombo,Sri Lanka
1829-09-01,25.815,1.499,Colombo,Sri Lanka
1829-10-01,27.356,1.877,Colombo,Sri Lanka
1829-11-01,26.722,2.62,Colombo,Sri Lanka
1829-12-01,25.348,3.829,Colombo,Sri Lanka
1830-01-01,24.314,2.579,Colombo,Sri Lanka
1830-02-01,24.374,1.935,Colombo,Sri Lanka
1830-03-01,25.148,1.619,Colombo,Sri Lanka
1830-04-01,27.374,1.656,Colombo,Sri Lanka
1830-05-01,26.787,2.116,Colombo,Sri Lanka
1830-06-01,28.047,2.387,Colombo,Sri Lanka
1830-07-01,27.411,1.783,Colombo,Sri Lanka
1830-08-01,25.838,1.773,Colombo,Sri Lanka
1830-09-01,25.764,1.897,Colombo,Sri Lanka
1830-10-01,26.828,2.613,Colombo,Sri Lanka
1830-11-01,28.259,2.172,Colombo,Sri Lanka
1830-12-01,26.399,2.12,Colombo,Sri Lanka
1831-01-01,23.862,2.219,Colombo,Sri Lanka
1831-02-01,23.982,4.012,Colombo,Sri Lanka
1831-03-01,25.704,3.169,Colombo,Sri Lanka
1831-04-01,26.638,1.317,Colombo,Sri Lanka
1831-05-01,29.042,2.553,Colombo,Sri Lanka
1831-06-01,28.664,2.175,Colombo,Sri Lanka
1831-07-01,26.354,1.507,Colombo,Sri Lanka
1831-08-01,25.367,1.459,Colombo,Sri Lanka
1831-09-01,25.29,1.397,Colombo,Sri Lanka
1831-10-01,26.383,1.567,Colombo,Sri Lanka
1831-11-01,26.153,4.256,Colombo,Sri Lanka
1831-12-01,24.956,3.351,Colombo,Sri Lanka
1832-01-01,23.334,1.942,Colombo,Sri Lanka
1832-02-01,22.923,2.163,Colombo,Sri Lanka
1832-03-01,25.645,1.978,Colombo,Sri Lanka
1832-04-01,27.606,3.096,Colombo,Sri Lanka
1832-05-01,29.149,2.569,Colombo,Sri Lanka
1832-06-01,,,Colombo,Sri Lanka
1832-07-01,27.295,2.235,Colombo,Sri Lanka
1832-08-01,25.986,2.536,Colombo,Sri Lanka
1832-09-01,25.389,1.93,Colombo,Sri Lanka
1832-10-01,26.523,2.273,Colombo,Sri Lanka
1832-11-01,26.301,1.41,Colombo,Sri Lanka
1832-12-01,,,Colombo,Sri Lanka
1833-01-01,24.198,2.697,Colombo,Sri Lanka
1833-02-01,24.1,1.627,Colombo,Sri Lanka
1833-03-01,24.923,2.313,Colombo,Sri Lanka
1833-04-01,26.968,1.703,Colombo,Sri Lanka
1833-05-01,28.256,1.79,Colombo,Sri Lanka
1833-06-01,28.314,1.652,Colombo,Sri Lanka
1833-07-01,27.093,1.622,Colombo,Sri Lanka
1833-08-01,25.615,1.426,Colombo,Sri Lanka
1833-09-01,25.842,1.475,Colombo,Sri Lanka
1833-10-01,26.43,1.435,Colombo,Sri Lanka
1833-11-01,27.56,2.078,Colombo,Sri Lanka
1833-12-01,25.978,2.463,Colombo,Sri Lanka
1834-01-01,22.826,1.962,Colombo,Sri Lanka
1834-02-01,23.858,2.221,Colombo,Sri Lanka
1834-03-01,25.788,2.262,Colombo,Sri Lanka
1834-04-01,26.721,2.124,Colombo,Sri Lanka
1834-05-01,29.348,1.618,Colombo,Sri Lanka
1834-06-01,27.956,2.326,Colombo,Sri Lanka
1834-07-01,26.528,1.421,Colombo,Sri Lanka
1834-08-01,25.976,1.284,Colombo,Sri Lanka
1834-09-01,26.51,2.116,Colombo,Sri Lanka
1834-10-01,27.042,1.22,Colombo,Sri Lanka
1834-11-01,27.531,1.936,Colombo,Sri Lanka
1834-12-01,26.101,1.47,Colombo,Sri Lanka
1835-01-01,24.436,2.003,Colombo,Sri Lanka
1835-02-01,23.787,2.056,Colombo,Sri Lanka
1835-03-01,24.676,1.67,Colombo,Sri Lanka
1835-04-01,26.199,2.027,Colombo,Sri Lanka
1835-05-01,27.588,1.427,Colombo,Sri Lanka
1835-06-01,27.07,1.771,Colombo,Sri Lanka
1835-07-01,25.959,1.702,Colombo,Sri Lanka
1835-08-01,25.152,1.475,Colombo,Sri Lanka
1835-09-01,25.389,1.684,Colombo,Sri Lanka
1835-10-01,26.295,1.208,Colombo,Sri Lanka
1835-11-01,25.845,1.762,Colombo,Sri Lanka
1835-12-01,24.168,1.859,Colombo,Sri Lanka
1836-01-01,23.689,1.196,Colombo,Sri Lanka
1836-02-01,23.442,1.592,Colombo,Sri Lanka
1836-03-01,24.977,1.757,Colombo,Sri Lanka
1836-04-01,26.329,1.404,Colombo,Sri Lanka
1836-05-01,28.298,1.783,Colombo,Sri Lanka
1836-06-01,28.032,1.434,Colombo,Sri Lanka
1836-07-01,26.535,1.361,Colombo,Sri Lanka
1836-08-01,25.161,1.37,Colombo,Sri Lanka
1836-09-01,26.104,1.913,Colombo,Sri Lanka
1836-10-01,27.342,3.796,Colombo,Sri Lanka
1836-11-01,25.967,1.817,Colombo,Sri Lanka
1836-12-01,25.326,2.146,Colombo,Sri Lanka
1837-01-01,24.284,1.917,Colombo,Sri Lanka
1837-02-01,24.221,1.53,Colombo,Sri Lanka
1837-03-01,24.693,2.198,Colombo,Sri Lanka
1837-04-01,25.796,1.568,Colombo,Sri Lanka
1837-05-01,27.234,1.544,Colombo,Sri Lanka
1837-06-01,27.425,1.795,Colombo,Sri Lanka
1837-07-01,26.54,1.173,Colombo,Sri Lanka
1837-08-01,25.907,1.005,Colombo,Sri Lanka
1837-09-01,26.264,1.507,Colombo,Sri Lanka
1837-10-01,26.465,2.044,Colombo,Sri Lanka
1837-11-01,26.334,2.167,Colombo,Sri Lanka
1837-12-01,25.308,3.102,Colombo,Sri Lanka
1838-01-01,22.126,2.344,Colombo,Sri Lanka
1838-02-01,22.963,1.324,Colombo,Sri Lanka
1838-03-01,24.572,1.626,Colombo,Sri Lanka
1838-04-01,26.75,1.277,Colombo,Sri Lanka
1838-05-01,27.801,1.013,Colombo,Sri Lanka
1838-06-01,27.888,1.414,Colombo,Sri Lanka
1838-07-01,27.513,2.755,Colombo,Sri Lanka
